,Voltage (V),Current (A)
0,-44.0,-0.000499986
1,-43.8974358974359,-0.0004999863
2,-43.794871794871796,-0.0004999863
3,-43.69230769230769,-0.0004999866
4,-43.58974358974359,-0.0004999863
5,-43.48717948717949,-0.0004999861
6,-43.38461538461539,-0.0004999865
7,-43.282051282051285,-0.0004999866
8,-43.17948717948718,-0.0004999865
9,-43.07692307692308,-0.0004999863
10,-42.97435897435898,-0.000499986
11,-42.87179487179487,-0.0004999859
12,-42.76923076923077,-0.0004999865
13,-42.666666666666664,-0.0004999865
14,-42.56410256410256,-0.0004999864
15,-42.46153846153846,-0.0004999863
16,-42.35897435897436,-0.0004999866
17,-42.256410256410255,-0.0004999861
18,-42.15384615384615,-0.0003398868
19,-42.05128205128205,-0.0001713511
20,-41.94871794871795,-7.208256e-05
21,-41.84615384615385,-2.186664e-05
22,-41.743589743589745,-7.288088e-06
23,-41.64102564102564,-3.682041e-06
24,-41.53846153846154,-2.496614e-06
25,-41.43589743589744,-1.862291e-06
26,-41.333333333333336,-1.510446e-06
27,-41.23076923076923,-1.255942e-06
28,-41.12820512820513,-1.086379e-06
29,-41.02564102564102,-9.521933e-07
30,-40.92307692307692,-8.461917e-07
31,-40.82051282051282,-7.635318e-07
32,-40.717948717948715,-6.942093e-07
33,-40.61538461538461,-6.361665e-07
34,-40.51282051282051,-5.88115e-07
35,-40.41025641025641,-5.458909e-07
36,-40.30769230769231,-5.104037e-07
37,-40.205128205128204,-4.762866e-07
38,-40.1025641025641,-4.490848e-07
39,-40.0,-4.229544e-07
