,Voltage (V),Current (A)
0,-44.0,-0.0004999863
1,-43.8974358974359,-0.0004999863
2,-43.794871794871796,-0.0004999863
3,-43.69230769230769,-0.0004999862
4,-43.58974358974359,-0.0004999863
5,-43.48717948717949,-0.0004999862
6,-43.38461538461539,-0.0004999859
7,-43.282051282051285,-0.0004999859
8,-43.17948717948718,-0.0004999861
9,-43.07692307692308,-0.0004999858
10,-42.97435897435898,-0.0004999863
11,-42.87179487179487,-0.000499986
12,-42.76923076923077,-0.0004999856
13,-42.666666666666664,-0.0004999855
14,-42.56410256410256,-0.0004999855
15,-42.46153846153846,-0.0004999862
16,-42.35897435897436,-0.000499986
17,-42.256410256410255,-0.0004999863
18,-42.15384615384615,-0.0004981636
19,-42.05128205128205,-0.0002584363
20,-41.94871794871795,-0.0001121516
21,-41.84615384615385,-3.956747e-05
22,-41.743589743589745,-1.850187e-05
23,-41.64102564102564,-1.113317e-05
24,-41.53846153846154,-7.990592e-06
25,-41.43589743589744,-6.11793e-06
26,-41.333333333333336,-5.013556e-06
27,-41.23076923076923,-4.185859e-06
28,-41.12820512820513,-3.651324e-06
29,-41.02564102564102,-3.201877e-06
30,-40.92307692307692,-2.866211e-06
31,-40.82051282051282,-2.577886e-06
32,-40.717948717948715,-2.357029e-06
33,-40.61538461538461,-2.154609e-06
34,-40.51282051282051,-1.98861e-06
35,-40.41025641025641,-1.851032e-06
36,-40.30769230769231,-1.733471e-06
37,-40.205128205128204,-1.622847e-06
38,-40.1025641025641,-1.522145e-06
39,-40.0,-1.435552e-06
